customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,charge_per_tenure,effective_tenure_paid,revenue_potential,onlinesecurity_flag,onlinebackup_flag,deviceprotection_flag,techsupport_flag,streamingtv_flag,streamingmovies_flag,service_count,has_premium_services,has_phone,has_internet,has_bundle,loyalty_segment,contract_risk,is_electronic_check,is_auto_payment
1178-PZGAB,Female,0,0,0,19,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.25,383.65,0,1.0657894736842106,18.94567901234568,384.75,0,0,0,0,0,0,0,0,1,0,0,Developing (1-2yr),2,0,1
7927-AUXBZ,Female,0,0,0,30,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,0,Electronic check,85.15,2555.9,1,2.8383333333333334,30.01644157369348,2554.5,0,0,0,1,1,0,2,0,1,1,1,Established (2-4yr),3,1,0
2626-VEEWG,Male,0,1,1,67,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.4,1284.2,0,0.28955223880597014,66.1958762886598,1299.8,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1
2878-RMWXY,Male,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),102.65,7550.3,0,1.4256944444444446,73.55382367267413,7390.8,1,1,1,0,0,1,4,1,1,1,1,Loyal (4-6yr),1,0,1
1657-DYMBM,Male,0,1,0,53,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.9,1110.05,0,0.3754716981132075,55.78140703517588,1054.6999999999998,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1
7311-MQJCH,Female,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.55,99.6,0,3.91,5.09462915601023,97.75,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),2,1,0
7375-WMVMT,Male,1,1,0,71,1,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),95.5,6707.15,0,1.3450704225352113,70.23193717277486,6780.5,0,1,1,1,0,1,4,1,1,1,1,Loyal (4-6yr),1,0,1
1136-XGEQU,Female,0,1,1,50,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),84.15,4164.4,0,1.683,49.4878193701723,4207.5,0,1,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),2,0,1
2530-FMFXO,Male,0,1,1,56,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,103.2,5873.75,0,1.842857142857143,56.91618217054263,5779.2,0,0,1,1,1,1,4,1,1,1,1,Loyal (4-6yr),1,1,0
6844-DZKRF,Male,0,0,0,2,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,Credit card (automatic),50.2,109.25,0,25.1,2.1762948207171315,100.4,0,0,0,1,0,0,1,0,1,1,1,New (0-12m),3,0,1
4695-WJZUE,Female,1,0,0,2,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,88.55,179.25,1,44.275,2.024280067758329,177.1,0,0,1,0,0,1,2,0,1,1,1,New (0-12m),3,1,0
7619-ODSGN,Male,0,1,1,24,1,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,54.75,1338.15,1,2.28125,24.44109589041096,1314.0,1,0,0,0,0,0,1,0,1,1,1,Developing (1-2yr),3,1,0
5970-GHJAW,Male,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.95,862.4,0,0.43369565217391304,43.228070175438596,917.6999999999999,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,1
8879-XUAHX,Male,0,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.25,8564.75,0,1.6373239436619718,73.6752688172043,8253.75,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,1,0
3689-MOZGR,Female,0,0,0,29,0,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,31.2,926.2,0,1.0758620689655172,29.685897435897438,904.8,0,0,0,1,0,0,1,0,0,1,0,Established (2-4yr),3,1,0
4195-PNGZS,Male,0,1,1,69,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),24.45,1718.2,0,0.35434782608695653,70.27402862985686,1687.05,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1
5003-XZWWO,Male,0,1,0,71,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),84.2,5956.85,0,1.1859154929577465,70.74643705463183,5978.2,0,1,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),1,0,1
3988-RQIXO,Female,1,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.3,91.3,1,91.3,1.0,91.3,0,0,0,0,1,1,2,0,1,1,1,New (0-12m),3,1,0
7622-FWGEW,Male,1,1,0,56,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.65,4824.45,0,1.5294642857142857,56.32749562171628,4796.400000000001,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1
6922-NCEDI,Male,0,0,1,56,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,21.2,1238.65,0,0.37857142857142856,58.426886792452834,1187.2,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),2,0,0
2514-GINMM,Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.5,79.5,1,79.5,1.0,79.5,0,0,0,0,1,0,1,0,1,1,1,New (0-12m),3,1,0
9891-NQDBD,Female,0,1,0,28,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,25.55,672.2,0,0.9125,26.309197651663407,715.4,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),2,0,0
6131-IUNXN,Female,0,1,1,19,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,382.2,0,1.063157894736842,18.92079207920792,383.8,0,0,0,0,0,0,0,0,1,0,0,Developing (1-2yr),3,0,0
8548-AWOFC,Male,0,1,0,66,1,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,63.85,4264.6,0,0.9674242424242424,66.79091620986688,4214.1,0,0,0,1,0,1,2,0,1,1,1,Loyal (4-6yr),3,1,0
9798-DRYDS,Female,0,1,1,17,1,Yes,DSL,No,No,Yes,Yes,No,No,One year,1,Mailed check,61.95,1070.7,0,3.644117647058824,17.283292978208234,1053.15,0,0,1,1,0,0,2,0,1,1,1,Developing (1-2yr),2,0,0
8532-UEFWH,Male,0,1,1,52,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.75,1345.85,0,0.4951923076923077,52.266019417475725,1339.0,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,0
6296-DDOOR,Female,0,0,0,19,1,No,DSL,No,Yes,No,No,Yes,No,One year,0,Electronic check,58.2,1045.25,0,3.0631578947368423,17.959621993127147,1105.8,0,1,0,0,1,0,2,0,1,1,1,Developing (1-2yr),2,1,0
7951-VRDVK,Female,0,0,0,36,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),85.85,3003.55,0,2.384722222222222,34.986022131624935,3090.6,1,1,1,1,1,1,6,1,1,1,1,Established (2-4yr),2,0,1
5931-FLJJF,Male,1,1,0,7,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.1,467.55,1,10.014285714285714,6.669757489300999,490.69999999999993,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,0,0
4815-YOSUK,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),104.9,7537.5,0,1.4569444444444446,71.85414680648236,7552.8,1,1,1,1,0,1,5,1,1,1,1,Loyal (4-6yr),2,0,1
2659-VXMWZ,Male,0,1,1,67,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,111.3,7482.1,1,1.6611940298507462,67.22461814914645,7457.099999999999,1,1,1,0,1,1,5,1,1,1,1,Loyal (4-6yr),2,1,0
0380-NEAVX,Male,1,0,0,34,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,99.85,3343.15,0,2.9367647058823527,33.481722583875815,3394.8999999999996,0,1,1,0,1,1,4,1,1,1,1,Established (2-4yr),2,1,0
3207-OYBWH,Male,1,1,0,57,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),95.25,5427.05,1,1.6710526315789473,56.97690288713911,5429.25,0,1,1,0,0,1,3,1,1,1,1,Loyal (4-6yr),3,0,1
4285-GYRQC,Female,0,1,0,7,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,86.25,587.1,1,12.321428571428571,6.806956521739131,603.75,0,0,1,0,1,0,2,0,1,1,1,New (0-12m),3,1,0
7216-EWTRS,Female,1,1,0,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.8,100.8,1,100.8,1.0,100.8,0,0,1,0,1,1,3,1,1,1,1,New (0-12m),3,1,0
4365-MSDYN,Male,0,1,0,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.55,161.15,0,2.44375,8.242966751918159,156.4,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),3,0,1
7036-TYDEC,Female,0,0,0,69,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Electronic check,104.0,7028.5,0,1.5072463768115942,67.58173076923077,7176.0,0,0,1,1,1,1,4,1,1,1,1,Loyal (4-6yr),1,1,0
5802-ADBRC,Female,0,1,0,50,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,1,Mailed check,104.4,5232.9,0,2.088,50.1235632183908,5220.0,1,0,1,0,1,1,4,1,1,1,1,Loyal (4-6yr),2,0,0
8076-FEZKJ,Male,0,0,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.5,225.85,0,1.95,11.582051282051282,195.0,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),2,0,0
5197-YPYBZ,Female,0,1,1,12,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.25,274.7,0,2.1041666666666665,10.879207920792078,303.0,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),1,0,1
8337-MSSXB,Female,0,0,0,14,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,86.3,1180.95,1,6.164285714285714,13.684241019698726,1208.2,0,1,0,0,0,1,2,0,1,1,1,Developing (1-2yr),3,1,0
4312-GVYNH,Female,0,1,0,70,0,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),49.85,3370.2,0,0.7121428571428572,67.60682046138415,3489.5,1,0,1,1,0,1,4,1,0,1,0,Loyal (4-6yr),1,0,1
8495-LJDFO,Female,1,0,0,64,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),108.95,7111.3,0,1.70234375,65.27122533272143,6972.8,1,0,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),3,0,1
0839-JTCUD,Female,0,1,1,66,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.9,5958.85,0,1.3621212121212123,66.28309232480534,5933.400000000001,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1
5494-WOZRZ,Female,0,1,1,71,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),82.0,5999.85,0,1.1549295774647887,73.1689024390244,5822.0,1,0,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),1,0,1
1302-UHBDD,Male,1,0,0,20,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,89.95,1648.45,0,4.4975000000000005,18.326292384658142,1799.0,0,0,0,0,1,1,2,0,1,1,1,Developing (1-2yr),3,1,0
2234-EOFPT,Male,0,1,0,72,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),79.35,5753.25,0,1.1020833333333333,72.50472589792061,5713.2,1,1,0,1,1,1,5,1,1,1,1,Loyal (4-6yr),1,0,1
8619-IJNDK,Female,0,1,1,71,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Credit card (automatic),64.05,4492.9,0,0.9021126760563379,70.14676034348165,4547.55,1,1,1,1,0,0,4,1,1,1,1,Loyal (4-6yr),1,0,1
8378-LKJAF,Male,0,1,1,38,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),101.15,3956.7,0,2.6618421052631582,39.11715274345032,3843.7000000000003,0,0,1,0,1,1,3,1,1,1,1,Established (2-4yr),3,0,1
8182-BJDSI,Female,0,0,0,28,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,89.95,2625.55,1,3.2125,29.18899388549194,2518.6,0,1,0,0,0,1,2,0,1,1,1,Established (2-4yr),3,1,0
2528-HFYZX,Male,1,1,0,17,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,76.45,1233.4,1,4.497058823529412,16.133420536298235,1299.65,0,1,0,0,0,0,1,0,1,1,1,Developing (1-2yr),3,1,0
1153-GNOLC,Male,0,0,0,33,0,No phone service,DSL,No,Yes,No,No,Yes,No,One year,1,Electronic check,39.1,1309.0,0,1.1848484848484848,33.47826086956522,1290.3,0,1,0,0,1,0,2,0,0,1,0,Established (2-4yr),2,1,0
3298-QEICA,Female,0,1,1,23,0,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,0,Mailed check,34.6,813.45,0,1.5043478260869565,23.510115606936417,795.8000000000001,1,0,0,1,0,0,2,0,0,1,0,Developing (1-2yr),1,0,0
0788-DXBFY,Male,0,1,1,58,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,19.55,1108.8,0,0.3370689655172414,56.71611253196931,1133.9,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),2,1,0
3597-YASZG,Female,1,1,0,70,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),104.45,7349.35,0,1.4921428571428572,70.36237434179033,7311.5,0,1,0,1,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1
3496-LFSZU,Male,0,1,0,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.5,294.2,0,17.625,4.173049645390071,282.0,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,1,0
5242-UOWHD,Male,0,1,1,45,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.35,929.2,0,0.45222222222222225,45.66093366093366,915.7500000000001,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,0
2482-CZGBB,Male,0,0,0,10,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.0,740.0,1,7.0,10.571428571428571,700.0,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,1,0
6479-SZPLM,Male,0,1,1,36,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.45,754.5,0,0.5402777777777777,38.79177377892031,700.1999999999999,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,1
8097-VBQTZ,Male,0,0,0,54,1,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Mailed check,69.9,3883.3,0,1.2944444444444445,55.55507868383405,3774.6000000000004,1,1,0,1,1,0,4,1,1,1,1,Loyal (4-6yr),3,0,0
4500-HKANN,Male,0,1,1,23,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,0,Mailed check,59.7,1414.2,0,2.595652173913044,23.688442211055275,1373.1000000000001,0,1,0,1,0,0,2,0,1,1,1,Developing (1-2yr),1,0,0
9917-KWRBE,Female,0,1,1,41,1,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),78.35,3211.2,0,1.9109756097560975,40.98532227185705,3212.35,1,1,1,0,1,0,4,1,1,1,1,Established (2-4yr),2,0,1
3420-ZDBMA,Male,1,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,71.45,371.6,0,14.290000000000001,5.200839748075578,357.25,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,0,0
2212-LYASK,Male,0,1,1,27,0,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,1,Credit card (automatic),45.85,1246.4,0,1.6981481481481482,27.184296619411125,1237.95,0,1,1,0,0,1,3,1,0,1,0,Established (2-4yr),2,0,1
1393-IMKZG,Female,0,0,0,1,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,95.85,95.85,0,95.85,1.0,95.85,0,0,0,1,1,1,3,1,1,1,1,New (0-12m),3,1,0
8069-RHUXK,Female,0,1,1,67,0,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,0,Credit card (automatic),35.7,2545.7,0,0.5328358208955224,71.30812324929971,2391.9,1,0,0,1,0,0,2,0,0,1,0,Loyal (4-6yr),1,0,1
3398-GCPMU,Female,1,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),89.55,6448.85,0,1.24375,72.0139586823004,6447.599999999999,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1
2908-WGAXL,Female,0,1,1,56,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.95,1468.9,0,0.44553571428571426,58.873747494989985,1397.2,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),1,0,1
3378-AJRAO,Male,0,1,1,44,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,24.85,1013.6,0,0.5647727272727273,40.78873239436619,1093.4,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),2,1,0
1013-QCWAM,Female,1,1,0,66,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.8,6690.75,0,1.5272727272727273,66.3764880952381,6652.8,0,1,0,0,1,1,3,1,1,1,1,Loyal (4-6yr),3,1,0
0866-QLSIR,Female,0,0,0,34,1,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,1,Mailed check,64.4,2088.75,1,1.8941176470588237,32.43400621118012,2189.6000000000004,1,1,0,1,0,0,3,1,1,1,1,Established (2-4yr),2,0,0
6050-FFXES,Female,0,1,0,69,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),105.35,7240.65,0,1.5268115942028984,68.72947318462269,7269.15,0,0,1,1,1,1,4,1,1,1,1,Loyal (4-6yr),1,0,1
7181-BQYBV,Female,0,1,1,1,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,102.45,102.45,1,102.45,1.0,102.45,1,0,1,0,1,1,4,1,1,1,1,New (0-12m),3,1,0
0362-RAOQO,Female,0,0,0,40,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.65,830.25,0,0.49124999999999996,42.25190839694657,786.0,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,1
9554-DFKIC,Male,0,1,1,30,1,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),54.45,1588.7,0,1.8150000000000002,29.177226813590448,1633.5,1,0,0,0,0,0,1,0,1,1,1,Established (2-4yr),3,0,1
5527-ACHSO,Female,0,0,0,11,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,0,Mailed check,70.5,829.3,0,6.409090909090909,11.763120567375886,775.5,0,0,0,1,1,1,3,1,1,1,1,New (0-12m),3,0,0
0829-DDVLK,Female,0,0,0,15,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.1,302.45,0,1.34,15.047263681592039,301.5,0,0,0,0,0,0,0,0,1,0,0,Developing (1-2yr),2,0,1
1399-UBQIU,Male,0,0,0,11,1,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,69.35,712.25,0,6.304545454545454,10.270367700072098,762.8499999999999,0,0,1,0,1,1,3,1,1,1,1,New (0-12m),3,1,0
1813-JLKWR,Female,0,1,1,64,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,1336.65,0,0.309375,67.50757575757576,1267.2,0,0,0,0,0,0,0,0,1,0,0,Loyal (4-6yr),2,0,1
0336-PIKEI,Male,1,1,0,72,1,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Bank transfer (automatic),74.4,5360.75,0,1.0333333333333334,72.05309139784946,5356.8,1,1,1,1,1,0,5,1,1,1,1,Loyal (4-6yr),1,0,1
7322-OCWHC,Male,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Bank transfer (automatic),93.05,6735.05,0,1.292361111111111,72.38097796883396,6699.599999999999,1,1,1,1,0,0,4,1,1,1,1,Loyal (4-6yr),1,0,1
9537-VHDTA,Female,0,0,1,1,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,51.2,51.2,0,51.2,1.0,51.2,1,0,0,0,0,0,1,0,1,1,1,New (0-12m),3,0,0
4957-TIALW,Female,0,0,1,15,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Credit card (automatic),65.6,1010.0,0,4.373333333333333,15.396341463414636,983.9999999999999,1,1,1,1,0,0,4,1,1,1,1,Developing (1-2yr),2,0,1
2054-PJOCK,Female,0,0,0,60,1,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),80.55,4847.05,0,1.3425,60.17442582247052,4833.0,0,0,1,1,1,1,4,1,1,1,1,Loyal (4-6yr),2,0,1
9150-HEPMB,Male,0,0,0,56,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,52.7,3019.7,0,0.9410714285714287,57.29981024667931,2951.2000000000003,1,0,1,0,0,0,2,0,1,1,1,Loyal (4-6yr),2,0,0
9030-QGZNL,Female,0,0,0,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.85,161.65,0,2.60625,7.752997601918465,166.8,0,0,0,0,0,0,0,0,1,0,0,New (0-12m),1,0,0
6204-IEUXJ,Female,0,0,0,3,1,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),80.1,217.55,1,26.7,2.7159800249687893,240.29999999999998,0,0,1,1,0,0,2,0,1,1,1,New (0-12m),3,0,1
3126-WQMGH,Female,0,1,0,49,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),52.15,2583.75,0,1.0642857142857143,49.54458293384468,2555.35,0,0,0,0,0,0,0,0,1,1,1,Loyal (4-6yr),3,0,1
4529-CKBCL,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.2,146.05,1,40.1,1.821072319201995,160.4,0,0,0,0,1,0,1,0,1,1,1,New (0-12m),3,1,0
2506-CLAKW,Female,0,0,0,6,1,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),98.15,567.45,1,16.358333333333334,5.781456953642384,588.9000000000001,1,1,1,1,0,1,5,1,1,1,1,New (0-12m),3,0,1
7176-WRTNX,Male,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.95,7711.25,0,1.6421428571428571,67.08351457155285,8046.5,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1
1583-IHQZE,Male,0,0,0,12,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,112.95,1384.75,1,9.4125,12.259849490925188,1355.4,0,1,1,1,1,1,5,1,1,1,1,New (0-12m),3,0,0
5732-IKGQH,Male,1,1,0,52,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),104.45,5481.25,0,2.0086538461538463,52.47726184777405,5431.400000000001,1,0,1,1,1,1,5,1,1,1,1,Loyal (4-6yr),2,0,1
9239-GZHZE,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),113.65,8124.2,0,1.5784722222222223,71.4843818741751,8182.8,1,1,1,1,1,1,6,1,1,1,1,Loyal (4-6yr),1,0,1
7205-BAIAD,Female,0,0,0,40,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.6,827.3,0,0.515,40.16019417475728,824.0,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),1,0,1
0151-ONTOV,Female,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.9,70.9,1,70.9,1.0,70.9,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,0,0
4140-MUHUG,Female,1,0,0,3,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,86.85,220.95,1,28.95,2.5440414507772022,260.54999999999995,0,0,1,0,1,0,2,0,1,1,1,New (0-12m),3,1,0
0093-EXYQL,Female,1,0,0,40,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.55,3673.6,0,2.28875,40.12670671764064,3662.0,0,0,0,0,1,1,2,0,1,1,1,Established (2-4yr),3,1,0
8064-RAVOH,Male,0,0,1,1,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,49.85,49.85,0,49.85,1.0,49.85,0,0,1,0,0,0,1,0,1,1,1,New (0-12m),3,1,0
0219-QAERP,Male,0,1,0,30,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,576.65,0,0.66,29.12373737373737,594.0,0,0,0,0,0,0,0,0,1,0,0,Established (2-4yr),2,0,1
0320-JDNQG,Male,0,1,1,23,1,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,99.85,2331.3,1,4.341304347826087,23.348022033049578,2296.5499999999997,1,0,0,1,1,1,4,1,1,1,1,Developing (1-2yr),3,1,0
7180-PISOG,Male,0,1,1,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.5,74.5,1,74.5,1.0,74.5,0,0,0,0,0,0,0,0,1,1,1,New (0-12m),3,1,0
